experiment_id,uav_id,issue,exclusion_scope,excluded,reason,source_log
nominal/N_6_seed_42,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/nominal/N_6_seed_42/metrics_summary.json
stochastic/N_6_seed_42,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/stochastic/N_6_seed_42/metrics_summary.json
stochastic/N_6_seed_43,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/stochastic/N_6_seed_43/metrics_summary.json
stochastic/N_6_seed_44,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/stochastic/N_6_seed_44/metrics_summary.json
baselines/no_thermal/N_6_seed_42,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/no_thermal/N_6_seed_42/metrics_summary.json
baselines/no_thermal/N_6_seed_43,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/no_thermal/N_6_seed_43/metrics_summary.json
baselines/no_thermal/N_6_seed_44,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/no_thermal/N_6_seed_44/metrics_summary.json
baselines/no_thermal/N_6_seed_45,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/no_thermal/N_6_seed_45/metrics_summary.json
baselines/no_thermal/N_6_seed_46,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/no_thermal/N_6_seed_46/metrics_summary.json
baselines/no_event_response/N_6_seed_42,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/no_event_response/N_6_seed_42/metrics_summary.json
baselines/no_event_response/N_6_seed_43,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/no_event_response/N_6_seed_43/metrics_summary.json
baselines/no_event_response/N_6_seed_44,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/no_event_response/N_6_seed_44/metrics_summary.json
baselines/no_event_response/N_6_seed_45,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/no_event_response/N_6_seed_45/metrics_summary.json
baselines/no_event_response/N_6_seed_46,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/no_event_response/N_6_seed_46/metrics_summary.json
baselines/non_energy_aware_fsm/N_6_seed_42,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/non_energy_aware_fsm/N_6_seed_42/metrics_summary.json
baselines/non_energy_aware_fsm/N_6_seed_43,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/non_energy_aware_fsm/N_6_seed_43/metrics_summary.json
baselines/non_energy_aware_fsm/N_6_seed_44,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/non_energy_aware_fsm/N_6_seed_44/metrics_summary.json
baselines/non_energy_aware_fsm/N_6_seed_45,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/non_energy_aware_fsm/N_6_seed_45/metrics_summary.json
baselines/non_energy_aware_fsm/N_6_seed_46,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/non_energy_aware_fsm/N_6_seed_46/metrics_summary.json
baselines/simplified_battery/N_6_seed_42,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/simplified_battery/N_6_seed_42/metrics_summary.json
baselines/simplified_battery/N_6_seed_43,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/simplified_battery/N_6_seed_43/metrics_summary.json
baselines/simplified_battery/N_6_seed_44,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/simplified_battery/N_6_seed_44/metrics_summary.json
baselines/simplified_battery/N_6_seed_45,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/simplified_battery/N_6_seed_45/metrics_summary.json
baselines/simplified_battery/N_6_seed_46,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/simplified_battery/N_6_seed_46/metrics_summary.json
baselines/coverage_only/N_6_seed_42,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/coverage_only/N_6_seed_42/metrics_summary.json
baselines/coverage_only/N_6_seed_43,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/coverage_only/N_6_seed_43/metrics_summary.json
baselines/coverage_only/N_6_seed_44,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/coverage_only/N_6_seed_44/metrics_summary.json
baselines/coverage_only/N_6_seed_45,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/coverage_only/N_6_seed_45/metrics_summary.json
baselines/coverage_only/N_6_seed_46,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/baselines/coverage_only/N_6_seed_46/metrics_summary.json
stochastic/N_6_seed_45,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/stochastic/N_6_seed_45/metrics_summary.json
stochastic/N_6_seed_46,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/stochastic/N_6_seed_46/metrics_summary.json
stochastic/N_6_seed_47,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/stochastic/N_6_seed_47/metrics_summary.json
stochastic/N_6_seed_48,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/stochastic/N_6_seed_48/metrics_summary.json
stochastic/N_6_seed_49,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/stochastic/N_6_seed_49/metrics_summary.json
stochastic/N_6_seed_50,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/stochastic/N_6_seed_50/metrics_summary.json
stochastic/N_6_seed_51,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/stochastic/N_6_seed_51/metrics_summary.json
stochastic/N_6_seed_52,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/stochastic/N_6_seed_52/metrics_summary.json
stochastic/N_6_seed_53,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/stochastic/N_6_seed_53/metrics_summary.json
stochastic/N_6_seed_54,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/stochastic/N_6_seed_54/metrics_summary.json
stochastic/N_6_seed_55,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/stochastic/N_6_seed_55/metrics_summary.json
stochastic/N_6_seed_56,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/stochastic/N_6_seed_56/metrics_summary.json
stochastic/N_6_seed_57,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/stochastic/N_6_seed_57/metrics_summary.json
stochastic/N_6_seed_58,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/stochastic/N_6_seed_58/metrics_summary.json
stochastic/N_6_seed_59,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/stochastic/N_6_seed_59/metrics_summary.json
stochastic/N_6_seed_60,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/stochastic/N_6_seed_60/metrics_summary.json
stochastic/N_6_seed_61,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/stochastic/N_6_seed_61/metrics_summary.json
thermal_sensitivity/low/N_6_seed_42,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/thermal_sensitivity/low/N_6_seed_42/metrics_summary.json
thermal_sensitivity/low/N_6_seed_43,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/thermal_sensitivity/low/N_6_seed_43/metrics_summary.json
thermal_sensitivity/low/N_6_seed_44,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/thermal_sensitivity/low/N_6_seed_44/metrics_summary.json
thermal_sensitivity/low/N_6_seed_45,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/thermal_sensitivity/low/N_6_seed_45/metrics_summary.json
thermal_sensitivity/low/N_6_seed_46,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/thermal_sensitivity/low/N_6_seed_46/metrics_summary.json
thermal_sensitivity/high/N_6_seed_42,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/thermal_sensitivity/high/N_6_seed_42/metrics_summary.json
thermal_sensitivity/high/N_6_seed_43,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/thermal_sensitivity/high/N_6_seed_43/metrics_summary.json
thermal_sensitivity/high/N_6_seed_44,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/thermal_sensitivity/high/N_6_seed_44/metrics_summary.json
thermal_sensitivity/high/N_6_seed_45,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/thermal_sensitivity/high/N_6_seed_45/metrics_summary.json
thermal_sensitivity/high/N_6_seed_46,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/thermal_sensitivity/high/N_6_seed_46/metrics_summary.json
event_sensitivity/low/N_6_seed_42,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/event_sensitivity/low/N_6_seed_42/metrics_summary.json
event_sensitivity/low/N_6_seed_43,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/event_sensitivity/low/N_6_seed_43/metrics_summary.json
event_sensitivity/low/N_6_seed_44,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/event_sensitivity/low/N_6_seed_44/metrics_summary.json
event_sensitivity/low/N_6_seed_45,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/event_sensitivity/low/N_6_seed_45/metrics_summary.json
event_sensitivity/low/N_6_seed_46,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/event_sensitivity/low/N_6_seed_46/metrics_summary.json
event_sensitivity/high/N_6_seed_42,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/event_sensitivity/high/N_6_seed_42/metrics_summary.json
event_sensitivity/high/N_6_seed_43,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/event_sensitivity/high/N_6_seed_43/metrics_summary.json
event_sensitivity/high/N_6_seed_44,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/event_sensitivity/high/N_6_seed_44/metrics_summary.json
event_sensitivity/high/N_6_seed_45,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/event_sensitivity/high/N_6_seed_45/metrics_summary.json
event_sensitivity/high/N_6_seed_46,,none,none,False,6 valid UAV(s); all validity checks passed,logs/raw/event_sensitivity/high/N_6_seed_46/metrics_summary.json
